"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
"81",70000,"1","2","1",43,0,0,0,0,0,0,93025,95655,66404,31688,17317,6270,3664,2127,618,738,125,0,"0"
"82",30000,"2","3","3",26,1,2,0,0,0,0,30698,29034,28317,27872,28456,28230,0,1442,986,1021,1015,1143,"1"
"83",60000,"2","2","1",40,0,0,0,0,0,0,58127,59345,58196,47007,32834,29116,2800,2200,1500,1200,1100,1200,"0"
"84",160000,"1","1","1",30,-1,0,0,0,0,0,16754,44946,40453,40951,40709,35569,40453,2002,5208.03380836871,2000,1000,6443,"0"
"85",170000,"2","1","1",35,2,2,2,2,2,2,131909,133178,131711,139143,140987,144187,4800,2000,11000,5500,5500,5400,"1"
"86",20000,"2","1","2",26,1,2,0,0,0,0,17040,16474,17203,18411,18929,19171,0,1300,1500,824,696,1011,"0"
"87",50000,"1","2","1",25,1,-1,0,0,0,0,-8,37230,10496,3614,2254,1494,18631,1000,0,0,0,0,"1"
"88",2e+05,"2","2","1",45,-1,-1,-1,-1,-1,-1,69288,0,1800,1795,58932,29331,0,1800,2000,60000,29331,0,"0"
"89",50000,"2","2","2",36,0,0,2,0,0,0,23368,27050,27086,28525,30895,33003,4400,761,2200,2862,2770,2200,"1"
"90",150000,"1","1","1",40,2,2,2,2,2,2,99855,102586,100064,104975,107147,109428,5200,0,8100,4000,4200,4200,"0"
"91",150000,"2","1","2",31,-2,-1,-1,-1,-2,-2,2005,2869,16719,8568,797,1158,2876,16732,8593,799,1161,41380,"0"
"92",210000,"1","2","2",32,0,0,0,0,0,0,137264,102545,94692,70484,36308,33201,3664,3900,2868,3000,2000,2000,"1"
"93",80000,"1","3","1",62,-1,-1,-1,-1,-1,-1,1262,1642,1975,672,5112,3932,1642,1975,672,5112,3932,20289,"0"
"94",130000,"1","1","2",30,0,0,0,0,0,0,16757,21481,22389,22535,24236,20246,5000,1598,744,2000,744,3000,"0"
"95",50000,"2","2","1",36,2,2,2,0,0,2,45159,49125,47956,43578,35126,34420,4700,0,2004,3500,0,1000,"0"
"96",20000,"1","1","2",28,0,0,0,0,0,0,16196,17232,18339,18734,19281,19413,1600,1700,1000,1000,556,193,"0"
"97",90000,"2","2","1",51,0,0,0,0,0,0,12822,10944,12255,12192,12448,12895,1188,1499,436,452,654,455,"0"
"98",180000,"1","2","1",40,-1,-1,-1,-1,-1,-1,51041.1217259652,5630,9040,1288,1419,2385,5639,9044,1290,1421,2386,1964,"0"
"99",2e+05,"1","2","2",28,-1,0,0,0,-1,-1,29804,30892,25355,21666,15404,11559,20044,10198,15083,15450,11593,18784,"0"
"100",180000,"1","1","2",26,0,0,0,-1,-1,-1,24464,25332,11991,4394,200,200,1573,3007,4394,200,200,200,"0"
"101",80000,"2","2","2",27,1,2,2,2,2,-2,4073,3863,8109,7849,0,0,0,4500,21,4796.35716810584,0,0,"0"
"102",10000,"2","2","1",32,0,0,0,0,0,0,4695,5719,6733,7616,7779,8646,1103,1117,1000,286,1000,200,"1"
"103",50000,"2","2","1",26,0,0,0,0,-1,0,49744,40859,20706,-1166,19133,19127,1500,1206,0,20689,697,641,"0"
"104",30000,"2","3","2",36,2,2,2,2,2,2,25437,26734,26011,27353,26776,28620,2000,0,2078,0,2291,0,"1"
"105",450000,"2","1","2",31,2,-1,0,0,0,0,1638,54490,112841,112603,90202,39564,54490,62841,2000,0,1000,27224,"0"
"106",250000,"2","1","2",56,-2,-2,-2,-2,-2,-2,777,-3,772,-8,-8,1726,0,775,0,0,1734,0,"0"
"107",210000,"2","2","1",41,-1,0,-1,-1,-1,-1,13340,42862,9584,7978,6728,6728,42000,9600,7978,6728,6728,6728,"0"
"108",20000,"2","2","3",47,1,2,2,0,0,0,17624,18342,17750,18102,18485,19175,1300,0,647,674,1000,582,"0"
"109",3e+05,"1","2","1",40,-2,-2,-2,-2,-2,-2,15876,4347,0,2208,2475,7580,4347,0,2208,2475,7580,0,"0"
"110",130000,"1","2","2",26,2,2,0,0,0,0,134836,128038,126862,97925,100484,54125,0,5000,3500,4055,10000,50000,"1"
"111",140000,"2","2","1",33,-1,-1,-1,-1,0,0,1750,397,13126,3454,1747,1240,397,13126,3456,89,156,2813,"0"
"112",50000,"2","3","2",22,2,-1,-1,2,0,0,1261,1261,2136,1560,1170,780,1261,2136,0,0,0,0,"1"
"113",280000,"1","2","2",28,-2,-2,-2,-2,-2,-2,1799,1768,1848,-8,1601,-3,1782,1857,0,1609,3,1077,"0"
"114",130000,"2","2","2",40,0,0,2,0,0,0,9559,12394,11883,9826,10167,12685,3000,0,500,500,2700,500,"1"
"115",80000,"2","2","2",27,0,0,0,0,2,2,72991,75134,76083,81183,79906,75294,3320,2800,6400,2870,0,3150,"0"
"116",20000,"1","2","2",22,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,"1"
"117",50000,"1","2","2",28,-1,2,-1,0,0,-1,2809,187,3135,937,-3,894,0,3141,2,0,897,906,"0"
"118",180000,"2","2","2",29,-2,0,-2,-2,-2,-2,0,0,4690,0,150,193,0,4690,0,150,193,3403,"1"
"119",60000,"2","2","1",37,0,0,0,0,0,0,55233,54898,52890,49066,34105,32778,1940,2019,2236,1351,1326,1454,"0"
"120",2e+05,"2","2","2",35,0,0,0,-1,-1,-1,6512,4312,0,2412,1396,0,2000,0,2412,1396,0,396,"0"
"121",20000,"1","2","2",24,0,0,0,0,0,2,15110,16548,17443,16216,18027,12364,2000,1500,1500,2000,0,1000,"0"
"122",70000,"1","2","1",42,4,4,4,4,4,4,59130,59831,61873,63359,64221,65706,2272,3614,3100,2500,3100,1000,"1"
"123",180000,"2","2","2",26,1,-2,-1,-1,-2,-2,0,0,1000,0,0,0,0,1000,0,0,0,0,"0"
"124",220000,"2","1","2",27,-1,-1,-1,-1,-1,-1,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,"1"
"125",40000,"2","3","2",43,0,0,0,0,0,-2,26449,22072,19085,17550,0,0,1303,1665,1000,0,0,0,"0"
"126",2e+05,"1","1","2",28,0,-1,2,2,-1,-1,7464,22182,10373,2669,1024,170722,22182,7,0,6177,180722,5000,"0"
"127",230000,"1","1","1",34,0,0,0,0,0,0,22954,11225,10669,13498,12482,9949,1700,1380,8000,1000,4000,1000,"0"
"128",310000,"2","1","2",27,-1,-1,-1,-1,-1,-1,833,323,1083,2134,2474,2097,323,1093,2140,9201,2103,6571,"0"
"129",70000,"1","1","2",31,0,0,0,0,0,0,47873,52440,55961,63341,64694,67905,6000,5000,10000,3000,5000,3000,"0"
"130",180000,"2","2","1",39,0,0,0,0,0,0,130374,129889,114559,113759,94665,97134,5812,6000,6100,4000,4000,4000,"0"
"131",20000,"1","2","2",25,0,0,3,2,2,-1,15789,21698,21054,20355,19980,3470,6500,0,0,10000,25065,177,"0"
"132",190000,"2","2","2",25,0,0,0,0,-1,0,110031,105500,104430,93,158481,161866,8614,5000,93,159212,5800,5500,"0"
"133",180000,"1","2","1",45,-1,0,0,0,0,0,27679,28422,29650,29981,30419,31127,1481,2000,1100,1200,1500,1500,"1"
"134",10000,"2","3","2",53,0,-1,2,-1,-1,-2,1473,2095,622,149,-1324,-797,2095,0,1000,0,2000,0,"1"
"135",60000,"2","2","2",23,0,0,0,0,0,0,28406,28781,29219,29036,29493,29776,1790,1760,5208.03380836871,1500,1367,1000,"0"
"136",150000,"2","1","2",24,-1,-1,-1,-1,-1,-1,291,291,291,658,441,1197,291,291,658,441,1197,8007,"0"
"137",110000,"1","2","1",30,0,0,0,-1,2,2,35283,26000,9000,63853,59308,60576,1500,1500,63853,1500,2062,0,"0"
"138",20000,"1","2","1",31,-1,-1,-1,0,-1,-1,836,390,780,390,390,0,390,780,0,390,0,780,"1"
"139",40000,"2","1","2",26,0,0,0,2,2,2,20936,20647,21561,18438,20619,17582,3000,4000,0,5000,0,8000,"0"
"140",170000,"2","2","1",52,0,0,0,0,0,0,170133,48957.3671365772,160660,163652,131396,130402,7620,6200,10000,5100,5500,5000,"1"
"141",280000,"2","2","2",36,0,0,0,0,0,0,91093,92775,81718,83347,85623,87252,3224,2965,2987,3623,3148,3194,"0"
"142",2e+05,"2","1","2",30,-2,-2,-2,-2,-2,-2,896,896,670,6220,8536,23040,900,674,6450,8579,23155,16072,"0"
"143",90000,"2","2","1",35,-1,0,0,-1,-1,-1,5488,2380,0,1700,1700,0,1000,0,1700,1700,0,1664,"0"
"144",30000,"2","2","2",25,0,0,2,0,0,0,5293,8107,7738,10179,11902,13109,3000,0,3000,2000,1500,1000,"0"
"145",80000,"2","3","2",25,0,0,0,0,0,0,88786,86391,84871,81813,45094,38121,3200,4000,3000,4796.35716810584,1500,1300,"0"
"146",3e+05,"2","1","2",38,0,0,2,-1,-1,-1,15001,12751,2318,3792,11977,29127,2318,0,3792,11977,29127,16600,"1"
"147",420000,"2","1","2",36,-2,-2,-2,-2,-2,-2,0,3363,13581,1024,7853,5562,3363,13591,1026,7853,5562,990,"0"
"148",20000,"1","1","2",56,1,-2,-1,0,0,2,0,0,17901,18217,20269,11180,0,17901,519,2210,0,0,"0"
"149",10000,"2","2","2",37,-1,0,0,0,0,-1,7841,7400,6770,5163,3575,390,1157,1000,103,4796.35716810584,400,0,"0"
"150",6e+05,"1","1","2",36,-2,-2,-2,-2,-2,-2,-1,-1,1095,899,598,-2,0,1096,5208.03380836871,601,0,492,"0"
"151",30000,"2","1","2",43,1,2,2,2,0,0,17775,18688,21488,20847,21162,21809,1500,3433,0,800,1000,1000,"1"
"152",140000,"1","2","2",33,0,0,0,0,0,0,279184,259478,25020,21629,18367,15161,7000,2000,2000,2000,2000,2000,"0"
"153",1e+05,"2","1","2",27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,"0"
"154",50000,"1","1","2",32,0,0,0,0,0,0,18741,12724,13804,15331,15159,10188,1724,1804,2721,1159,1188,733,"0"
"155",80000,"2","3","2",28,0,0,0,0,0,0,70194,71912,69776,70985,72444,69685,3500,3000,2500,2500,2500,2500,"0"
"156",1e+05,"2","2","2",31,0,0,0,0,0,2,99259,48957.3671365772,77919,79597,88685,87773,2750,2854,3000,10400,600,4254,"0"
"157",220000,"1","2","2",30,0,0,0,0,0,0,226613,217800,189016,137788,106713,96588,7667,7261,5170,4054,4500,1225,"0"
"158",60000,"2","2","1",41,0,0,0,0,0,0,60255,58374,48442,53444,27705,28291,2000,2500,1000,2400,1200,2000,"0"
"159",190000,"2","2","1",33,-2,-2,-2,-2,-2,-2,2125,3405,2131,2131,2131,0,3411,2131,2131,2131,0,5354,"0"
"160",20000,"1","2","2",22,3,2,2,2,3,2,16132,16562,19279,20663,20043,19584,1000,3000,2000,0,0,1803,"1"
"161",30000,"2","3","1",43,1,2,2,2,2,2,12603,13103,13785,13911,13548,14465,1000,1200,646,0,1300,1000,"0"
"162",3e+05,"2","2","1",31,0,-1,-1,-1,0,0,3565,316,316,17597,15257,9482,316,316,17597,2000,2690,2000,"0"
"163",310000,"2","1","2",29,0,0,0,0,0,0,44592,40110,39805,36823,38987,32304,2000,1620,1332,2772,1500,1500,"0"
"164",360000,"1","2","1",34,0,0,0,0,0,0,49792,52399,52950,44625,21906,16190,3444,3053,3122,1030,610,519,"0"
"165",30000,"2","2","1",38,0,0,0,0,0,2,51041.1217259652,21022,22080,22810,25772,26360,1650,1700,1400,3355,1146,0,"0"
"166",2e+05,"1","2","1",35,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,28027,"0"
"167",30000,"2","3","2",25,0,0,0,0,2,2,26769,27138,28122,29139,28534,30360,1500,1447,3000,0,2300,0,"0"
"168",360000,"1","2","1",40,-1,-1,2,-1,-1,-1,1473,3125,1473,1473,1473,1473,3125,0,1473,1473,1473,1473,"0"
"169",280000,"1","1","1",37,-1,0,0,0,0,0,33687,21575,23926,23102,22734,29434,5000,3000,10000,10000,16934,10234,"0"
"170",2e+05,"1","1","2",31,-1,-1,-1,0,0,-1,3702,25548,10594,7969,2865,5625,5495.85623358254,10623,25,16,6000,19,"1"
"171",160000,"2","1","1",28,1,3,2,0,0,0,4529,4269,1170,780,780,0,0,0,0,0,0,0,"1"
"172",110000,"2","2","1",42,-1,-1,-1,-1,-1,-1,776,776,776,776,926,776,776,776,776,926,776,776,"0"
"173",20000,"2","1","2",23,0,0,0,0,0,0,5565,6841,7853,8565,9565,12065,1276,1288,1000,1000,2500,1000,"0"
"174",140000,"2","2","2",23,2,0,0,0,0,0,25621,26805,27763,28342,29123,29930,1600,1500,1000,1200,1250,1200,"1"
"175",80000,"2","3","1",44,0,0,2,0,0,0,80808,81615,79075,79604,78567,79810,6926,0,3000,3000,3300,3200,"0"
"176",50000,"2","1","2",24,0,0,0,0,0,0,35871,36312,35827,32834,29052,28288,5000,5000,5716,3000,2000,1500,"0"
"177",160000,"2","2","2",27,0,0,0,0,0,0,100613,78592,80240,39835,41150,0,3600,3700,1700,2000,0,0,"0"
"178",2e+05,"2","3","2",45,0,0,0,0,0,0,69817,71272,76740,67480,68843,70266,2049,5809.67036737989,1839,1862,1918,2149,"0"
"179",240000,"1","1","1",38,-1,3,2,-1,-1,0,6333,3360,1291,2740,2241,1060,0,10,2740,2241,0,2731,"0"
"180",3e+05,"1","1","1",38,-1,0,0,0,0,0,105932,100815,103744,103422,111152,110811,5137,30022,5006,10014,4016,4013,"0"
"181",50000,"2","3","1",36,0,0,0,0,0,0,13572,10805,8623,8799,8468,8768,1188,3000,176,169,300,1200,"0"
"182",220000,"1","1","2",39,3,2,0,0,0,2,184140,187089,189680,193561,205161,205477,7500,7100,7203,15000,3500,4500,"1"
"183",160000,"2","2","2",29,0,0,0,-1,-1,0,21898,23075,24010,400,16903,17248,5004,8004,400,16903,345,352,"0"
"184",166701.872916456,"2","2","2",26,0,0,0,0,0,0,25451,24025,21148,17767,2692,-956,3000,1500,1035,54,24056,21000,"0"
"185",360000,"2","2","1",42,-1,-1,-1,-1,-1,-1,22237,5683,1632,1632,22379,8901,6695,1632,5208.03380836871,22379,8901,4852,"0"
"186",1e+05,"1","1","1",33,2,2,0,0,0,0,94257,78728,65747,67046,69938,74800,0,3100,3000,4000,6000,0,"1"
"187",3e+05,"2","2","1",32,0,0,0,0,-2,-2,170379,142384,72350,0,0,0,6600,3750,0,0,0,0,"0"
"188",110000,"2","2","2",34,0,0,2,0,0,0,10827,11657,8428,9440,11863,10620,2500,0,1200,4000,500,500,"0"
"189",1e+05,"2","1","1",26,0,0,0,0,0,0,98530,95849,97235,93531,43975,45512,4301,4615,2729,1275,47052,1680,"0"
"190",50000,"2","2","2",41,1,2,0,0,0,0,49487,48282,39490,27835,23391,24507,0,2000,2537,1500,1500,1500,"1"
"191",1e+05,"2","1","2",30,2,2,2,2,2,2,29668,32463,33350,34003,34647,35348,3600,1700,1500,1500,1400,0,"0"
"192",260000,"2","1","2",33,-2,-2,-2,-1,0,0,6475,2500,500,210,210,-90,2500,500,210,0,0,0,"0"
"193",110000,"1","2","1",36,-1,0,0,0,0,0,3385,31169,50526,51816,34262,23366,28000,20000,3000,3000,3000,5235.93435669562,"0"
"194",80000,"2","2","3",29,-1,-1,2,-1,-1,-1,6441,14342,6187,7757,8451,6625,14349,5,7761,8460,6630,6218,"0"
"195",50000,"1","1","2",28,0,0,0,0,0,0,31170,20413,13738,6326,1452,1612,2005,1206,1000,600,500,1000,"0"
"196",50000,"1","3","1",32,0,0,0,0,0,-2,46727,47973,48990,49261,0,0,2000,2005,1745,0,0,0,"1"
"197",50000,"2","1","2",23,-1,-1,-1,-1,0,-1,1050,1050,974,1224,1224,1025,1050,974,1300,1050,1025,1050,"0"
"198",80000,"2","1","2",30,0,0,0,0,0,0,69533,71314,73027,74215,75865,77448,3500,3500,3000,3000,3000,3000,"0"
"199",10000,"2","2","2",21,0,0,0,0,0,0,7888,8987,9604,9800,10000,0,1383,1000,196,200,1000,0,"0"
"200",340000,"1","2","1",31,0,0,0,0,0,0,63098,64417,65752,69639,80057,83713,2338,2406,5000,11610,5000,2971,"1"
"201",360000,"1","1","2",29,-1,2,-1,0,0,-1,6167,3506,10845,8336,5878,12903,17,10859,380,187,12966,1038,"1"
"202",110000,"1","2","2",47,2,2,2,2,2,2,53016,56532,57502,58460,59876,58761,5000,2500,2500,2500,4828.11669441501,5000,"1"
"203",180000,"2","4","1",44,0,0,0,0,0,2,151538,133924,136707,139438,143513,141119,6256,6434,6506,10813,0,5557,"0"
